review_title,review_text,location,review_score,sentiment,v_scores,polarity
Great first experience!,We have always gone long haul with another operator which has always been a great experience. I have heard a lot of good things about Destinology so thought we would give it a shot.Ryan was very responsive to our requests and within 48 hours we had booked our dream holiday in Abu Dhabi. I would certainly recommend Ryan and Destinology to my friends and family!,UK,5,2,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.9674}",0.9674
Maura was amazing,"Maura was amazing, very informative and gave her honest opinion.Nothing was too much trouble, explained things very well.She also confirmed with hotel when I had a query.Amazing wouldn’t hesitate to book a holiday with Maura again.",UK,5,2,"{'neg': 0.105, 'neu': 0.68, 'pos': 0.215, 'compound': 0.7184}",0.7184
Emma Harvard was fabulous!!,Emma Harvard was fabulous! She listened to exactly what I wanted in my “dream” honeymoon and her service made the whole process so much easier and one less thing to worry about when planning a wedding/honeymoon. Couldn’t recommend her enough. Her alone is 5 stars! Thank you Emma! Will be using her for future holidays!,UK,5,2,"{'neg': 0.068, 'neu': 0.707, 'pos': 0.225, 'compound': 0.8912}",0.8912
A tailor-made holiday to Iceland.,"I wanted a company who could organise a holiday to Iceland for my wife and myself. It had to be individually tailor-made for two independent travellers, with the company doing all the necessary bookings, including all excursions whilst in Iceland. Pete listened very carefully to me detailing our requirements, discussing them at length to make sure he had an exact clear picture of what we wanted. Within 24 hours he had come up with a fully-costed package including a very attractive 4 star hotel, flights and a programme of activities and excursions which met all our needs, and more besides. The price was very competitive. We were so impressed we have asked Destinology to come up with a holiday to Sicily for next year.",UK,5,2,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.96}",0.96
Great Customer services,The customer service we received from Isaac was second to none. His professional manner and attitude to making sure we got the holiday we wanted at a great price was refreshing. Having never used them before we are really impressed. Would definitely recommend to anyone wanting to book a holiday. Thanks Isaac.,UK,5,2,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9704}",0.9704
Another booking with Destinology,"Leesa provided us with numerous quotes and allowed us to find the perfect holiday. As always, Leesa took care of everything and the whole process was easy. Thanks again for the wonderful service",UK,5,2,"{'neg': 0.0, 'neu': 0.586, 'pos': 0.414, 'compound': 0.959}",0.959
Maura was fantastic when helping me…,"Maura was fantastic when helping me arrange a special family holiday. She really went above and beyond, looking at all the various options that best fitted our requirements within our budget.",UK,5,2,"{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.9371}",0.9371
Destinology were great,"Our consultant Claire Shorrock, was excellent. Destinology took care of everything including recommendations of Hotels for our trip to Thailand. Easy to recommend.",UK,5,2,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.9062}",0.9062
Communication was effective,Communication was effective. I had received a follow up email from Emma Kingsley after last years quote which was not successful. She got Anthony Pearce onto this years holiday quotation. We had a few back and forth communications which were prompt and helpful.,UK,5,2,"{'neg': 0.061, 'neu': 0.77, 'pos': 0.17, 'compound': 0.6734}",0.6734
Impressive service,What impressed me the most was the efficiency of the travel consultant and the speed in which I was able to organise a holiday with her.,UK,5,2,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.8207}",0.8207
Would like to say a big thankyou to…,Would like to say a big thankyou to Emma who booked my holiday to Dubai for me next week .. although I booked late notice and there were certain issues with hotels etc Emma went above and beyond to make sure I got the best deal possible and nothing was too much trouble .. I couldn’t praise her enough and would definetly recommend booking with this company ..,UK,5,2,"{'neg': 0.033, 'neu': 0.726, 'pos': 0.241, 'compound': 0.9451}",0.9451
